"","x1","x2","x3","x4","x5","x6","x7","x8","y1"
"8771",66,40,53,18,93,31,23,68,14.26
"8772",71,35,62,15,86,17,25,74,14.01
"8773",69,22,57,16,92,21,12,77,15.16
"8774",79,34,57,17,87,26,19,64,12.69
"8775",63,34,77,13,86,26,15,67,12.43
"8776",66,20,64,14,80,18,21,71,13.47
"8777",66,26,69,11,81,31,23,61,11.9
"8778",67,36,67,10,94,29,26,67,12.87
"8779",62,42,58,14,82,25,29,61,13.26
"8780",61,36,59,9,97,22,27,65,12.95
"8781",73,31,61,11,94,18,24,68,12.32
"8782",60,26,51,18,108,26,24,63,12.69
"8783",60,27,53,17,85,39,28,58,13.22
"8784",61,29,65,14,93,35,25,62,14.95
"8785",68,33,57,7,82,47,19,70,15.37
"8786",67,28,62,11,84,44,21,65,17.99
"8787",76,22,69,24,85,24,17,74,13.77
"8788",66,24,61,27,74,37,20,67,13.83
"8789",81,23,44,20,92,37,28,78,14.05
"8790",64,21,58,24,77,27,15,73,14.61
"8791",74,25,69,12,84,27,19,67,13.23
"8792",61,24,75,16,83,30,17,60,13.3
"8793",65,34,81,12,73,46,25,64,12.87
"8794",60,29,67,18,86,29,21,62,15.64
"8795",72,21,48,18,87,23,25,83,13.72
"8796",69,13,48,16,86,28,22,61,13.6
"8797",5,5,14,4,9,3,9,6,11.52
"8798",19,30,48,15,63,35,23,32,2.31
"8799",45,33,69,16,103,69,23,44,10.86
"8800",43,19,69,12,149,43,21,47,16.31
"8801",55,21,71,9,158,29,27,55,16.62
"8802",56,28,93,9,138,22,15,55,13.65
"8803",57,20,109,15,111,28,24,58,13.38
"8804",58,28,93,17,134,37,13,49,13.57
"8805",45,22,75,17,126,30,23,53,14.01
"8806",50,20,98,17,137,33,29,49,12.76
"8807",47,22,85,13,132,35,19,43,13.79
"8808",53,25,70,13,122,39,14,57,13.05
"8809",56,22,65,17,130,37,15,57,14.32
"8810",63,14,71,22,108,43,22,65,14.18
"8811",61,30,64,20,118,45,13,55,15.17
"8812",47,38,74,14,106,49,19,53,14.98
"8813",64,22,64,10,120,46,22,57,15.91
"8814",56,30,79,20,129,26,18,62,15.06
"8815",59,21,78,20,114,39,21,59,14.72
"8816",59,12,78,16,117,44,21,57,20.63
"8817",57,30,74,15,114,42,28,62,15.1
"8818",50,36,80,11,166,26,23,43,15.84
"8819",41,27,85,7,120,38,8,44,14.04
"8820",59,24,71,10,127,50,20,56,13.71
"8821",60,28,60,13,130,44,18,58,16.06
"8822",57,24,87,19,109,38,15,65,15.03
"8823",58,13,74,24,112,33,22,51,14.72
"8824",52,27,69,26,132,31,17,57,12.94
"8825",58,25,78,17,142,27,15,58,16.22
"8826",50,31,82,16,111,36,25,45,14.45
"8827",7,8,12,6,32,7,7,4,13.86
"8828",6,17,23,3,32,8,13,11,1.73
"8829",30,23,41,9,60,13,13,33,4.11
"8830",30,16,62,9,49,14,20,27,7.27
"8831",25,8,60,11,66,13,8,28,7.42
"8832",27,17,68,6,54,10,9,24,7.08
"8833",30,23,57,12,55,9,12,31,6.3
"8834",23,24,53,8,60,18,10,23,7.15
"8835",18,21,40,12,44,29,20,17,7.25
"8836",26,21,39,14,57,19,10,30,7.63
"8837",26,26,55,15,50,11,17,24,10.45
"8838",29,24,48,22,37,24,17,25,6.96
"8839",21,27,37,11,63,16,22,26,7.99
"8840",29,30,47,12,61,10,13,28,7.61
"8841",27,33,30,10,58,17,17,27,6.55
"8842",34,21,46,19,39,12,20,32,7.62
"8843",31,18,51,11,46,12,20,38,6.99
"8844",32,25,48,18,56,12,15,29,8.08
"8845",35,21,46,18,54,10,14,31,7.86
"8846",31,16,56,12,53,13,11,37,7.59
"8847",35,17,52,18,36,15,17,26,9.29
"8848",20,28,48,23,44,15,11,21,7.36
"8849",22,27,58,25,44,20,11,24,6.8
"8850",20,29,35,22,53,20,7,20,7.32
"8851",20,21,50,23,52,16,15,20,7.01
"8852",23,22,48,23,42,17,21,22,6.9
"8853",18,32,59,12,52,17,26,20,7.17
"8854",24,44,40,7,42,15,10,27,7.47
"8855",31,33,44,17,42,14,11,32,6.83
"8856",30,34,51,25,54,12,7,27,8.54
"8857",9,8,16,12,23,6,7,7,7.59
"8858",14,24,23,8,39,17,14,26,2.7
"8859",58,24,67,25,86,34,27,61,6.39
"8860",66,26,88,16,112,23,13,66,16.92
"8861",68,24,72,12,150,18,24,74,13.41
"8862",73,26,72,7,134,28,21,74,14.01
"8863",74,22,90,13,117,22,25,64,14.86
"8864",58,37,94,15,103,26,29,66,13.51
"8865",61,31,57,25,110,43,34,62,13.57
"8866",59,29,82,17,101,46,32,61,14.35
"8867",68,21,93,17,88,37,28,61,15.26
"8868",58,25,89,15,122,32,23,58,13.89
"8869",62,30,85,18,122,36,20,55,13.84
"8870",54,34,77,24,99,33,12,60,13.96
"8871",63,33,81,25,106,31,22,69,13.28
"8872",63,39,79,18,106,32,16,61,13.84
"8873",73,28,74,16,114,25,22,75,15.93
"8874",69,37,57,18,112,40,25,63,13.79
"8875",66,30,74,20,89,45,23,66,14.86
"8876",61,26,79,28,116,26,15,66,14.52
"8877",57,22,74,21,99,61,24,53,14.09
"8878",52,40,74,19,107,60,28,51,19.59
"8879",60,30,92,15,106,51,22,58,15.49
"8880",63,47,73,14,106,21,26,61,15.05
